Latitude,Longitude
41.8830103,-87.6370487
41.8844592,-87.6369651
41.8868489,-87.6302474
41.8868489,-87.6302474
41.8869186,-87.63022
41.8869186,-87.63022
41.8868391,-87.6272918
41.8868391,-87.6272918
41.8844845,-87.6234338
41.8848579,-87.6239617
41.8731583,-87.6241378
41.8731583,-87.6241378
41.8731583,-87.6241378
41.8756897,-87.6241986
41.8756897,-87.6241986
41.8718783,-87.6242636
41.8718783,-87.6242636
41.8718783,-87.6242636
41.8744516,-87.6243278
41.8744516,-87.6243278
41.8744516,-87.6243278
41.8705979,-87.6242402
41.8705979,-87.6242402
41.8705979,-87.6242402
41.8756266,-87.620877
41.8756266,-87.620877
41.8756266,-87.620877
41.875945,-87.6208823
41.875945,-87.6208823
41.875945,-87.6208823
41.8827009,-87.6204291
41.8827009,-87.6204291
41.8827009,-87.6204291
41.8826995,-87.6206512
41.8826995,-87.6206512
41.8826981,-87.6208621
41.8826981,-87.6208621
41.8826981,-87.6208621
41.8839258,-87.6207534
